table_id,count_census,count_panel,field_level_2,bias,abs_bias,representation_ratio
B19001e17,260595.0,39451.7128557312," $200,000 Or More",-0.936070062084271,0.936070062084271,0.8876318644857011
B19001e16,191106.0,30743.697907508613," $150,000 To $199,999",-0.34684671016241264,0.34684671016241264,0.9432240833004341
B19001e2,318712.0,56157.866090836316," Less Than $10,000",0.33730021334187654,0.33730021334187654,1.0331069443003675
B19001e12,272942.0,48013.52908034278," $60,000 To $74,999",0.27395162042841115,0.27395162042841115,1.0313981747330456
B19001e4,167065.0,29939.407659152814," $15,000 To $19,999",0.2709212943065049,0.2709212943065049,1.0507292643719
B19001e14,249128.0,41320.805710002445," $100,000 To $124,999",-0.21918831374847514,0.21918831374847514,0.9724770011507975
B19001e8,124186.0,22158.893941207072," $35,000 To $39,999",0.1833470114949427,0.1833470114949427,1.0461851219397524
B19001e13,342454.0,59348.773429917506," $75,000 To $99,999",0.17640681134947123,0.17640681134947123,1.0161143949837566
B19001e7,136534.0,23999.247440438587," $30,000 To $34,999",0.1335529944943401,0.1335529944943401,1.0305994566053103
B19001e3,186560.0,32410.320616880515," $10,000 To $14,999",0.11084447084262905,0.11084447084262905,1.018586447927507
B19001e5,150540.0,26248.659221342932," $20,000 To $24,999",0.10742660562452677,0.10742660562452677,1.022323425623655
B19001e15,161306.0,27099.29768784014," $125,000 To $149,999",-0.0772952808060472,0.0772952808060472,0.9850099405477543
B19001e9,122397.0,20730.91682328898," $40,000 To $44,999",-0.027105888146460533,0.027105888146460533,0.9930722251222976
B19001e10,101075.0,17379.53114132429," $45,000 To $49,999",0.026349891178290452,0.026349891178290452,1.0081552254938335
B19001e11,206982.0,35206.860087182125," $50,000 To $59,999",-0.017834364922260093,0.017834364922260093,0.9973045829719202
B19001e6,136664.0,23331.480307003687," $25,000 To $29,999",0.004239706808932375,0.004239706808932375,1.000970471072573
