seed_1,seed_2,ARI
1716,8772,1.0
1716,2857,1.0
1716,13345,1.0
1716,8735,0.9981996209261306
1716,3530,1.0
1716,1251,1.0
1716,12424,1.0
1716,17571,0.9954041705546268
1716,18427,1.0
8772,2857,1.0
8772,13345,1.0
8772,8735,0.9981996209261306
8772,3530,1.0
8772,1251,1.0
8772,12424,1.0
8772,17571,0.9954041705546268
8772,18427,1.0
2857,13345,1.0
2857,8735,0.9981996209261306
2857,3530,1.0
2857,1251,1.0
2857,12424,1.0
2857,17571,0.9954041705546268
2857,18427,1.0
13345,8735,0.9981996209261306
13345,3530,1.0
13345,1251,1.0
13345,12424,1.0
13345,17571,0.9954041705546268
13345,18427,1.0
8735,3530,0.9981996209261306
8735,1251,0.9981996209261306
8735,12424,0.9981996209261306
8735,17571,0.9953079640903268
8735,18427,0.9981996209261306
3530,1251,1.0
3530,12424,1.0
3530,17571,0.9954041705546268
3530,18427,1.0
1251,12424,1.0
1251,17571,0.9954041705546268
1251,18427,1.0
12424,17571,0.9954041705546268
12424,18427,1.0
17571,18427,0.9954041705546268
