parameter,period,n_cbgs,moran_I,expected_I,z_score,p_value_permutation
store_area,2018_2019,5502,0.009247708069678,-0.00018178512997636792,1.185997657575692,0.125
store_area,2019_2020,5502,0.1568550089162634,-0.00018178512997636792,19.436984835154856,0.001
store_area,2020_2021,5502,0.10444173895811512,-0.00018178512997636792,12.425843199008428,0.001
chain_loyalty,2018_2019,5502,-0.010776851222864621,-0.00018178512997636792,-1.292734135661794,0.09
chain_loyalty,2019_2020,5502,0.1355692770008472,-0.00018178512997636792,16.15687658579662,0.001
chain_loyalty,2020_2021,5502,0.0629096030214113,-0.00018178512997636792,7.877983568694181,0.001
poi_count,2018_2019,5502,0.018108121076913043,-0.00018178512997636792,2.3329424689397436,0.014
poi_count,2019_2020,5502,0.10104990129976835,-0.00018178512997636792,12.24698384314111,0.001
poi_count,2020_2021,5502,0.04567951984668948,-0.00018178512997636792,5.494895621213711,0.001
poi_diversity,2018_2019,5502,0.000212770938341435,-0.00018178512997636792,-0.0033342160295310626,0.493
poi_diversity,2019_2020,5502,0.07335982013201162,-0.00018178512997636792,8.859153879123701,0.001
poi_diversity,2020_2021,5502,0.03741890476943354,-0.00018178512997636792,4.57683020999627,0.001
demographic_similarity,2018_2019,5502,-0.0027194744932904536,-0.00018178512997636792,-0.33644019792269925,0.368
demographic_similarity,2019_2020,5502,0.006340950192746204,-0.00018178512997636792,0.8048279500959166,0.205
demographic_similarity,2020_2021,5502,0.002475487996982051,-0.00018178512997636792,0.3549243891983201,0.382
distance,2018_2019,5502,0.0059881551940383256,-0.00018178512997636792,0.7523658544084317,0.226
distance,2019_2020,5502,0.10489001839211526,-0.00018178512997636792,12.664921526444367,0.001
distance,2020_2021,5502,0.09315911991149928,-0.00018178512997636792,11.62813682220114,0.001
